timestamp,location,vehicle_type,base_price,traffic_level,occupancy_rate,weather,day_of_week,is_holiday,demand_level
2024-02-28 04:50:00,Zone A,Car,79.32,Low,0.77,Rain,Wednesday,0,61.08
2024-03-08 00:50:00,Zone A,Car,67.24,Low,0.68,Clear,Friday,0,45.72
2024-01-20 21:37:00,Zone A,Car,64.9,High,0.8,Storm,Saturday,0,77.88
2024-02-10 21:18:00,Zone C,Bike,84.75,Low,0.93,Rain,Saturday,1,78.82
2024-01-31 23:17:00,Zone B,Truck,37.23,Medium,0.66,Clear,Wednesday,0,29.49
2024-02-04 13:57:00,Zone A,Bike,87.8,High,0.66,Fog,Sunday,0,86.92
2024-03-07 10:07:00,Zone B,Car,97.85,Medium,0.94,Clear,Thursday,1,110.37
2024-02-27 05:17:00,Zone C,Bike,66.19,High,0.82,Clear,Tuesday,0,81.41
2024-03-01 04:33:00,Zone A,Bike,98.82,Low,0.63,Clear,Friday,1,62.26
2024-01-26 07:14:00,Zone B,Bike,33.01,Medium,0.78,Rain,Friday,1,30.9
2024-03-04 21:08:00,Zone C,Car,68.73,Low,0.63,Rain,Monday,0,43.3
2024-02-12 01:49:00,Zone B,Bike,99.16,High,0.63,Rain,Monday,1,93.71
2024-01-06 02:11:00,Zone A,Car,84.4,Medium,0.74,Fog,Saturday,0,74.95
2024-01-20 04:53:00,Zone C,Bike,37.01,Medium,0.41,Storm,Saturday,1,18.21
2024-01-14 00:06:00,Zone B,Truck,39.73,High,0.44,Fog,Sunday,1,26.22
2024-02-23 02:44:00,Zone B,Bike,37.55,Low,0.62,Storm,Friday,0,23.28
2024-03-09 19:01:00,Zone A,Car,32.23,Low,0.55,Storm,Saturday,0,17.73
2024-02-05 00:32:00,Zone B,Bus,62.33,High,0.75,Clear,Monday,0,70.12
2024-03-03 01:13:00,Zone C,Bike,81.49,Medium,0.56,Clear,Sunday,1,54.76
2024-02-09 13:45:00,Zone A,Bus,20.26,High,0.49,Fog,Friday,0,14.89
2024-02-16 05:02:00,Zone A,Bike,87.33,High,0.92,Rain,Friday,0,120.52
2024-02-04 00:49:00,Zone A,Car,67.92,Medium,0.67,Clear,Sunday,0,54.61
2024-02-03 00:56:00,Zone B,Truck,24.63,High,0.71,Clear,Saturday,0,26.23
2024-03-07 14:52:00,Zone B,Car,98.24,High,0.49,Rain,Thursday,0,72.21
2024-03-01 01:14:00,Zone B,Truck,41.2,High,0.62,Storm,Friday,0,38.32
2024-02-19 02:06:00,Zone C,Truck,77.04,Medium,0.72,Fog,Monday,1,66.56
2024-02-17 02:39:00,Zone B,Car,39.83,Low,0.53,Fog,Saturday,0,21.11
2024-02-23 13:10:00,Zone C,Truck,67.08,Low,0.76,Clear,Friday,0,50.98
2024-01-21 20:07:00,Zone A,Car,88.77,Low,0.61,Rain,Sunday,1,54.15
2024-03-01 21:24:00,Zone B,Truck,63.14,High,0.66,Storm,Friday,0,62.51
2024-02-13 01:13:00,Zone B,Truck,27.55,High,0.61,Storm,Tuesday,1,25.21
